@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
1M6B,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
3KEX,ANP,NON-POLYMER,506.196,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
3LMG,ANP,NON-POLYMER,506.196,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
3P11,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
4LEO,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
4P59,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
4RIW,ANP,NON-POLYMER,506.196,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
4RIX,ANP,NON-POLYMER,506.196,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
4RIY,ANP,NON-POLYMER,506.196,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(NP(=O)(O)O)O)O)O)N
5CUS,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
5O4O,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
5O7P,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
6KBI,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
6OP9,DB8,NON-POLYMER,530.446,UBPYILGKFZZVDX-UHFFFAOYSA-N,CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC
7D85,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
7MN5,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
7MN6,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
7MN8,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
1FAP,RAP,NON-POLYMER,914.172,QFJCIRLUMZQUOT-HPLJOQBZSA-N,C[C@@H]1CC[C@H]2C[C@@H](C(=CC=C\C=C\[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)C)OC
1NSG,RAD,NON-POLYMER,928.198,GPZGXSFHPLUMHE-JQEUAWNDSA-N,CCO[C@H]\1C[C@@H]2CC[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H](CC(=O)[C@@H](/C=C(/[C@H]([C@H](C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C1\C)C)C)OC)O)\C)C)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)O)C
2FAP,RAD,NON-POLYMER,928.198,GPZGXSFHPLUMHE-JQEUAWNDSA-N,CCO[C@H]\1C[C@@H]2CC[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H](CC(=O)[C@@H](/C=C(/[C@H]([C@H](C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C1\C)C)C)OC)O)\C)C)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)O)C
2RSE,TB,NON-POLYMER,158.925,HKCRVXUAKWXBLE-UHFFFAOYSA-N,[Tb+3]
3FAP,ARD,NON-POLYMER,980.296,SDSGJAIFUCCAOV-MSLSVLDMSA-N,Cc1ccc(s1)[C@@H]/2C[C@@H]3CC[C@H]([C@@](O3)(C(=O)C(=O)N4CCCC[C@H]4C(=O)O[C@@H](CC(=O)[C@@H](\C=C(\[C@H]([C@H](C(=O)[C@@H](C[C@@H](\C=C\C=C\C=C2/C)C)C)OC)O)/C)C)[C@H](C)C[C@@H]5CC[C@H]([C@@H](C5)OC)O)O)C
3JBZ,ADP,NON-POLYMER,427.201,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)OP(=O)(O)O)O)O)N
4DRH,RAP,NON-POLYMER,914.172,QFJCIRLUMZQUOT-HPLJOQBZSA-N,C[C@@H]1CC[C@H]2C[C@@H](C(=CC=C\C=C\[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)C)OC
4DRI,RAP,NON-POLYMER,914.172,QFJCIRLUMZQUOT-HPLJOQBZSA-N,C[C@@H]1CC[C@H]2C[C@@H](C(=CC=C\C=C\[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)C)OC
4DRJ,RAP,NON-POLYMER,914.172,QFJCIRLUMZQUOT-HPLJOQBZSA-N,C[C@@H]1CC[C@H]2C[C@@H](C(=CC=C\C=C\[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)C)OC
