@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
5QC8,BFV,NON-POLYMER,658.252,LIGRCXVOYJUELL-UHFFFAOYSA-N,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCOCC3)c4ccc(c(c4)C#Cc5cccc(c5)CNCc6ccccc6)Cl)C1
5QC9,BG7,NON-POLYMER,588.707,YYKUWQZWTBVESL-UHFFFAOYSA-N,CC(=CC(=O)NCc1cc(ccc1C(F)(F)F)c2c3c(n(n2)CCCN(C)C)CCN(C3)C(=O)CC4CCNCC4)C
5QCA,BGJ,NON-POLYMER,731.777,HQHJSIFCCGLWGY-UHFFFAOYSA-N,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCN(CC3)C4CC4)c5ccc(c(c5)C#Cc6ccc(cc6)CNCc7ccc(cc7)Cl)Cl)C1
5QCB,BHV,NON-POLYMER,730.86,VGHVCBNZEGIXOJ-UHFFFAOYSA-N,CC(=CC(=O)NCc1cc(ccc1C(F)(F)F)c2c3c(n(n2)CCCN4CCOCC4)CCN(C3)C(=O)CC5CCN(CC5)C(=O)OC(C)(C)C)C
5QCC,BGY,NON-POLYMER,712.062,ZBMNZIVATWUSMD-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCC(CC1)CC(=O)N2CCc3c(c(nn3CCCN4CCOCC4)c5ccc(c(c5)I)Cl)C2
5QCD,BHJ,NON-POLYMER,705.309,BIYANWMTXPESQI-UMSFTDKQSA-N,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCOCC3)c4ccc(c(c4)C#Cc5ccc6c(c5)CN[C@@H](C6)C(=O)N7CCCCC7)Cl)C1
5QCE,BJD,NON-POLYMER,692.698,IZBBHSKSQLPYHT-UHFFFAOYSA-N,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCOCC3)c4ccc(c(c4)C#Cc5ccc(c(c5)CNCc6ccccc6)Cl)Cl)C1
5QCF,BJD,NON-POLYMER,692.698,IZBBHSKSQLPYHT-UHFFFAOYSA-N,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCOCC3)c4ccc(c(c4)C#Cc5ccc(c(c5)CNCc6ccccc6)Cl)Cl)C1
5QCG,BJJ,NON-POLYMER,696.729,ZWXXUSFMMWHRMT-UHFFFAOYSA-N,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCOCC3)c4ccc(c(c4)CCc5ccc(c(c5)CNCc6ccccc6)Cl)Cl)C1
5QCH,BJS,NON-POLYMER,699.669,CIONECARUUEYBQ-SANMLTNESA-N,C[C@H]1COCCN1CCCn2c3c(c(n2)c4ccc(c(c4)C#Cc5ccc(c(c5)CNCc6ccccc6)Cl)Cl)CN(CC3)C(=O)C(=O)N
5QCI,BJV,NON-POLYMER,688.278,XDJYRFZPTINNSF-UHFFFAOYSA-N,COc1ccc(cc1CNCc2ccccc2)C#Cc3cc(ccc3Cl)c4c5c(n(n4)CCCN6CCOCC6)CCN(C5)S(=O)(=O)C
5QCJ,BJY,NON-POLYMER,619.678,OHGFFZPHDXPGML-QFIPXVFZSA-O,CS(=O)(=O)N1CCc2c(c(nn2C[C@H](CN3CCC(CC3)c4c[nH]c5c4c[n+](cc5)O)O)c6ccc(cc6)C(F)(F)F)C1
6YYN,Q1E,non-polymer,353.4,KVLQRUOLMVHSTQ-UHFFFAOYSA-N,CNC(=O)CCS(=O)(=O)N1CCN(CC1)c2ccc3nncn3n2
6YYO,Q1K,non-polymer,282.322,UNYVOSROGSXTRY-UHFFFAOYSA-N,CS(=O)(=O)N1CCN(CC1)c2ccc3nncn3n2
6YYP,Q1H,non-polymer,281.233,QYVPLFHAOLRMBY-UHFFFAOYSA-N,c1cc(oc1)Cn2c3ccc(cc3nc2N)C(F)(F)F
6YYQ,Q1Q,non-polymer,225.289,DBOFAIZAMCFPNL-GFCCVEGCSA-N,c1ccc(cc1)c2ncc3c(n2)CC[C@H](C3)N
6YYR,Q1N,non-polymer,477.537,RJJWMSGSKPHRAN-NEEXXPDWSA-N,[H]/N=C\CNC(=O)[C@H](CS(=O)(=O)N1CCN(CC1)c2ccccn2)NC(=O)Cc3cc(no3)C
8PI3,CD,NON-POLYMER,112.411,WLZRMCYVCSSEQC-UHFFFAOYSA-N,[Cd+2]
8RND,PGE,NON-POLYMER,150.173,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,C(COCCOCCO)O
9GJ2,KH0,non-polymer,595.687,FRACPXUHUTXLCX-LFBFJMOVSA-N,CC(C)(C)OC(=O)NC1=CC=CN(C1=O)[C@@H](CC2CC2)C(=O)N[C@@H](C[C@@H]3CCNC3=O)[C@@H](C(=O)NCc4ccccc4)O
6AL5,NAG,"D-saccharide, beta linking",221.208,OVRNDRQMDRJTHS-FMDGEEDCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
4PWY,SAH,non-polymer,384.411,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N
4XEM,A5A,NON-POLYMER,417.398,CWWYMWDIYBJVLP-YTMOPEAISA-N,C[C@@H](C(=O)NS(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O)N
4XEO,A5A,NON-POLYMER,417.398,CWWYMWDIYBJVLP-YTMOPEAISA-N,C[C@@H](C(=O)NS(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O)N
5KNN,A5A,NON-POLYMER,417.398,CWWYMWDIYBJVLP-YTMOPEAISA-N,C[C@@H](C(=O)NS(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O)N
5V59,8X1,NON-POLYMER,429.408,DQFRXHHGQUUTOL-XLZJSAHRSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COS(=O)(=O)NC(=O)[C@@H]4CCN4)O)O)N
4DXR,DMU,D-SACCHARIDE,482.562,WOQQAWHSKSSAGF-WXFJLFHKSA-N,CCCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O
6R15,EPE,NON-POLYMER,238.305,JKMHFZQWWAIEOD-UHFFFAOYSA-N,C1CN(CCN1CCO)CCS(=O)(=O)O
1JMT,HEZ,NON-POLYMER,118.174,XXMIOPMDWAUFGU-UHFFFAOYSA-N,C(CCCO)CCO
6BTY,O4B,non-polymer,264.315,XEZNGIUYQVAUSS-UHFFFAOYSA-N,C1COCCOCCOCCOCCOCCO1
6BTZ,O4B,non-polymer,264.315,XEZNGIUYQVAUSS-UHFFFAOYSA-N,C1COCCOCCOCCOCCOCCO1
