name,smiles
B4B_5OXG,c1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)c2cccnc2c1
C9U_6JUX,CCn1cc(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)c(-c2cccnc2)n1
H8H_6ZGC,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1
XQX_8UWR,O=C(C1CC1)N1CCN(c2ccnn3cc(-c4ccc(N5CCNCC5)cc4)cc23)CC1
LDN_3Q4U,c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1
MSZ_6SZM,COc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2C)cc(OC)c1OC
TZX_8C7Z,COc1cc(-c2cncc3c2CCOc2cc(N4CCNCC4)ccc2-3)cc(OC)c1OC
U0C_8C7W,COc1cc(-c2cncc3c2CN(C)Cc2cc(N4CCNCC4)ccc2-3)cc(OC)c1OC
844_4BGG,COc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2)cc(OC)c1OC
A1A29_9D8E,COc1cc(-c2nc3ccc(C(=O)NCCCN(C)C)cc3n2C2CCC2)cc(OC)c1OC
507_3OOM,CC(=O)c1cccc(-c2cnc3ccc(NC4CCOCC4)nn23)c1
QWQ_7A21,COc1cc(-c2cncc(-c3ccc(CN4CCCC4)cc3)c2C)cc(OC)c1OC
A1A3D_9D8Z,CNC(=O)[C@H]1C[C@H](n2c(-c3cc(OC)c(OC)c(OC)c3)nc3ccc(C(=O)NCC4CCN(C)CC4)cc32)C1
C87_7NNS,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
9TO_6ACR,COc1ccc(Nc2nccc(-c3c[nH]nc3-c3cccnc3)n2)cc1
B4E_5OY6,Clc1cc2cc(c1)-c1cnn3ccc(nc13)NCCOCCO2
A3F_6EIX,COc1cc(-c2cc(-c3cccc(O)c3)cnc2N)cc(OC)c1OC
7IO_8POD,c1ccc2c(-c3coc4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1
ANP_6UNQ,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O
FH0_7C3G,CN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccnc5)nn5c4COCC5)n3)cc2)CC1
E26_6I1S,CCNc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\[C@@H](C)[C@H](C)OC2=O
IR2_6GIN,O=c1c2cc(-c3ccnc4ccccc34)ccc2ncn1-c1ccc(N2CCOCC2)cc1
MVE_6T8N,CCOC1(c2ccc(-c3cc4c(N5CCN(C(=O)C6CC6)CC5)ccnn4c3)nc2)CCN(C(C)C)CC1
EZB_6GI6,Cc1c(-c2cccc3ncccc23)ccc2nc[nH]c(=O)c12
YEE_8R7G,COc1cc(-c2cncc(-c3ccc(N4CCN(C(C)C)CC4)cc3)c2C)cc(F)c1C(N)=O
Q5Z_6Z36,COc1cc(-c2cncc(-c3ccc(C4CCNCC4)cc3)c2C)cc(OC)c1OC
A1A3C_9D8F,CNC(=O)[C@H]1C[C@H](n2c(-c3cc(OC)c(OC)c(OC)c3)nc3ccc(C(=O)NCCCN(C)C)cc32)C1
MM8_6T6D,COc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2C)ccc1C(N)=O
IYZ_4DYM,CC(=O)c1cccc(-c2cnc3ccc(NCC4CC4)nn23)c1
TAK_3H9R,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1
5U6_6TN8,COc1cc(-c2cn(C)c(=O)c3cnccc23)c(OC)cc1CN(C)C
BRXX_BACE1,CN1C(N)=NC(C)(c2cc(-c3ccc(F)c(C#N)c3)cs2)CS1(=O)=O
ZHND_NEK2,O=S(=O)(Nc1ccc2c(c1)C(=NO)c1ccccc1-2)c1cccc(Br)c1
FQEW_PIK3CA,CS(=O)(=O)N1CCN(Cc2cn3cc(-c4ccc(N)nc4)nc(N4CCOCC4)c3n2)CC1
RGZX_ERBB2,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(OCCN(C)C)cc4OC)nc32)c1
NZRG_OPRK1,CC(=O)Nc1nc2c(s1)CC1C3Cc4ccc(O)cc4C1(CCN3CC1CC1)C2
SHIL_HTR1A,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc3nccc(N4CCNCC4)c3c2)cc1
XRWX_CA12,COc1ccccc1CC1C(=O)N(c2ccccc2)C(=O)C1=Nc1ccc(S(N)(=O)=O)cc1
NLNV_PRKCG,Cc1nn(-c2ccccc2)c2c1c(=O)c1cc(Cl)ccc1n2O
VQCK_GRM5,CC(C)S(=O)(=O)N1CCc2nc(C#Cc3ccccc3)sc2C1
RPJX_AKT1,CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccc(F)cc3-4)cc2)C1
PCGU_GPR35,COc1cccc(-c2c3oc(=O)c(C(=O)O)cc3cc3cc(C(=O)O)c(=O)oc23)c1
UYIL_ABCB1,CCN(CC)CCCn1c(=C2C(=O)Nc3ccc(Cl)cc32)sc(=Cc2ccc3c(c2)OCO3)c1=O
ADDQ_AURKA,CCc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)c1
JGKV_SLK,O=C(Nc1ccc2[nH]ncc2c1)c1ccc(Cl)cc1
KFCK_KCNH2,Cc1c(N2CCC(C3(N)CC3)C2)c(F)cc2cc(-c3nnco3)c(=O)n(C3CC3)c12
