  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.734            0      380.329      144.701      191.527
        1        0.812        5.620            0      376.659      159.692      184.227
        2        0.780        5.628            0      376.882      145.596      182.994
        3        0.617        5.626            0      377.069      126.860      185.954
        4        1.017        5.742            0      382.312      173.658      192.467
        5        0.933        5.761            0      380.328      146.725      189.595
        6        0.762        5.679            0      380.179      129.592      186.948
        7        0.873        5.564            0      375.910      131.304      189.630
        8        0.707        5.757            0      383.350      148.695      191.439
        9        0.908        5.585            0      375.124      130.448      186.275
       10        1.031        5.569            0      374.797      153.656      180.225
       11        0.813        5.650            0      377.761      158.007      180.038
       12        1.064        5.760            0      376.120      152.837      185.501
       13        0.706        5.692            0      376.704      191.854      181.615
       14        1.039        5.874            0      381.233      184.232      186.240
       15        1.267        5.702            0      380.681      134.202      184.451
       16        1.117        5.768            0      375.742      157.762      184.517
       17        1.351        5.817            0      379.433      178.122      182.947
       18        1.167        5.687            0      377.372      156.709      183.409
       19        0.807        5.827            0      381.352      155.948      186.739
       20        1.371        5.808            0      379.062      153.602      185.337
       21        0.666        5.744            0      377.172      164.245      185.573
       22        1.058        5.765            0      375.618      180.309      181.066
       23        1.265        5.787            0      376.213      159.488      178.738
       24        1.021        5.745            0      376.424      168.592      182.124
       25        0.773        5.747            0      377.485      163.525      184.522
       26        0.826        5.645            0      374.579      161.690      174.674
       27        0.736        5.773            0      378.522      186.554      185.087
       28        1.372        5.745            0      377.653      176.634      181.647
       29        1.128        5.699            0      377.508      163.725      187.198
       30        1.097        5.667            0      375.608      161.956      181.274
       31        1.233        5.664            0      374.622      167.980      178.107
       32        0.690        5.594            0      374.782      163.654      176.014
       33        1.348        5.814            0      375.497      161.239      178.239
       34        1.350        5.796            0      379.828      160.691      184.023
       35        1.313        5.632            0      375.213      161.780      179.970
       36        0.777        5.699            0      378.529      158.911      182.439
       37        0.670        5.730            0      377.204      150.196      179.764
       38        0.615        5.707            0      378.254      179.669      182.596
       39        0.748        5.612            0      375.481      149.255      177.482
       40        0.684        5.573            0      374.878      139.906      177.435
       41        0.820        5.745            0      375.132      165.510      185.543
       42        1.319        5.834            0      378.046      160.993      183.699
       43        1.134        5.697            0      376.886      183.149      179.207
       44        1.073        5.725            0      381.240      181.126      185.240
       45        1.294        5.682            0      375.172      192.173      177.117
       46        1.063        5.604            0      373.800      180.419      174.208
       47        1.085        5.716            0      378.693      195.076      192.177
       48        1.081        5.892            0      382.859      217.030      191.743
       49        0.877        5.680            0      379.566      186.084      196.565
       50        0.873        5.601            0      380.887      166.772      190.624
       51        0.724        5.609            0      378.036      165.034      191.663
       52        0.859        5.615            0      382.274      174.305      192.343
       53        0.748        5.857            0      377.626      183.085      186.292
       54        0.682        5.644            0      377.138      164.770      188.572
       55        0.816        5.658            0      378.693      189.946      191.176
       56        0.933        5.603            0      375.547      173.088      178.505
       57        1.102        5.805            0      379.046      200.521      184.658
       58        0.852        5.630            0      380.870      145.120      190.837
       59        1.511        5.694            0      379.887      140.520      188.254
       60        1.759        5.588            0      377.082      133.988      185.237
       61        1.583        5.465            0      373.941      127.608      184.968
       62        1.691        5.664            0      379.899      137.032      192.017
       63        1.712        5.446            0      374.282      146.903      170.499
       64        1.807        5.631            0      377.527      157.874      180.344
       65        1.595        5.396            0      375.678      164.194      179.938
       66        1.676        5.602            0      375.281      137.564      182.681
       67        0.816        5.609            0      378.870      144.848      187.652
       68        0.958        5.746            0      373.620      163.399      174.506
       69        0.889        5.616            0      372.393      151.986      172.552
       70        1.057        5.747            0      377.818      143.331      180.139
       71        1.144        5.786            0      375.671      197.475      185.633
       72        1.483        5.798            0      379.733      180.719      184.200
       73        1.595        5.743            0      377.694      193.198      182.351
       74        1.860        5.423            0      375.071      189.538      166.710
       75        1.368        5.536            0      372.720      177.000      180.116
       76        1.512        5.634            0      377.935      175.524      183.294
       77        1.094        5.801            0      378.164      179.210      180.646
       78        1.201        5.722            0      375.183      167.648      181.028
       79        0.891        5.782            0      377.133      173.465      182.904
       80        1.314        5.733            0      377.069      181.753      183.919
       81        1.182        5.795            0      377.663      156.440      183.017
       82        1.196        5.797            0      376.969      168.364      177.572
       83        1.226        5.750            0      379.663      142.331      180.190
       84        0.992        5.625            0      375.323      181.093      185.452
       85        1.246        5.784            0      380.419      161.482      181.990
       86        1.327        5.753            0      380.264      162.299      182.181
       87        0.624        5.634            0      375.438      191.140      178.403
       88        0.797        5.515            0      374.170      144.449      170.683
       89        1.125        5.751            0      376.691      185.655      183.515
       90        0.676        5.651            0      373.423      183.108      175.632
       91        0.917        5.712            0      375.674      192.600      179.031
       92        0.823        5.576            0      374.079      200.634      174.495
       93        0.884        5.516            0      373.111      211.685      178.286
       94        0.725        5.589            0      377.597      209.045      190.332
       95        1.898        5.658            0      375.702      201.503      176.276
       96        1.847        5.757            0      377.712      190.586      185.937
       97        1.987        5.517            0      371.192      170.820      172.274
       98        1.305        5.747            0      375.951      222.573      178.346
       99        0.867        5.552            0      373.725      180.601      174.134
      100        0.830        5.657            0      377.622      197.412      180.799
      101        0.864        5.516            0      373.245      201.667      174.745
      102        0.752        5.663            0      381.393      197.643      191.292
      103        0.616        5.619            0      374.381      225.157      177.468
      104        1.443        5.813            0      379.070      213.128      185.918
      105        0.940        5.630            0      373.924      200.496      179.924
      106        0.795        5.580            0      372.770      201.555      174.954
      107        1.061        5.528            0      375.874      186.494      179.140
      108        1.491        5.725            0      380.441      188.422      189.633
      109        0.908        5.743            0      376.599      209.002      180.911
      110        1.044        5.752            0      375.366      182.279      178.979
      111        0.751        5.586            0      377.880      204.269      184.181
      112        0.931        5.737            0      373.967      197.030      174.220
      113        0.986        5.577            0      376.188      213.695      177.236
