   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   1.845        0.429
         2                   1.886        1.068
         3                   1.760        1.111
         4                   1.528        0.601
         5                   1.766        0.975
         6                   1.926        0.919
         7                   1.491        0.885
         8                   1.914        1.589
         9                   1.414        0.778
        10                   1.746        1.084
        11                   1.626        1.099
        12                   1.339        0.758
        13                   1.374        0.925
        14                   1.195        0.402
        15                   1.344        1.038
        16                   1.411        0.957
        17                   1.357        0.730
        18                   1.262        1.048
        19                   1.492        1.955
        20                   1.170        0.753
        21                   2.814        0.564
        22                   2.777        1.389
        23                   2.914        2.110
        24                   2.570        1.804
        25                   2.089        0.650
        26                   2.505        0.851
        27                   4.168        2.057
        28                   3.590        1.197
        29                   4.169        1.937
