## Torsion are defined with the following atomIDs:
# dihed1: ai= 5371 aj= 2689 ak= 2688 al= 2687
# dihed2: ai= 2690 aj= 2684 ak= 2682 al= 2681
# dihed3: ai= 2680 aj= 2679 ak= 2677 al= 2674
# dihed4: ai= 2679 aj= 2677 ak= 2674 al= 2675
# dihed5: ai= 2676 aj= 2671 ak= 2695 al= 2694
# dihed6: ai= 2692 aj= 2691 ak= 2698 al= 2697
# dihed7: ai= 2691 aj= 2698 ak= 2697 al= 5382
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7
0  176.531  -26.047   18.769   28.343 -142.551   99.990  178.290
1 -160.454  -45.143   51.478   26.898 -125.341  -10.868 -174.414
2 -177.068   -5.513   21.285   20.754 -122.335   12.964  163.594
3 -169.933  -22.349   18.749   41.481 -145.063   51.297  173.931
4 -166.466  -16.848   19.081   38.617 -145.162  145.828 -179.930
5 -170.246  -16.004   36.390   18.926 -151.768  -27.111 -174.877
6 -170.792  -16.083   43.905    8.195 -143.061   85.882 -168.250
7  170.739    7.287   14.922   20.740 -175.752   89.330  161.440
8 -136.322  -36.110   33.422   41.157  122.028  149.240 -174.678
9 -164.933  -24.912   41.171   23.889  179.417 -135.411 -173.135
10  173.975  -12.975   30.237   26.777 -167.472  -91.360 -177.435
11 -160.586   -5.658    5.773   46.668 -170.382 -154.473  177.047
12  163.384   -9.079   33.706   31.726 -155.085  102.958 -178.841
13 -166.396  -10.210   62.608    4.784  175.737  145.981  173.294
14 -156.447  -11.592   23.566   40.585 -135.385   26.563  171.861
15 -156.548   -5.349   -7.294   65.521 -125.896  178.376  176.568
16 -179.612   -3.410   47.244   19.794 -125.499   16.306  172.402
17 -165.992    0.861   21.551   37.492 -108.783   30.881 -174.540
18 -168.515   -4.451   27.224   24.604 -118.071  161.211 -176.290
19 -162.860   -8.029   11.078   38.604 -139.526   90.900 -168.610
20 -176.569   -4.458   16.250   61.865 -126.832   36.581 -179.996
21 -152.799  -42.865   34.380   44.705  159.132   80.344 -168.671
22 -158.195   -0.784   28.704   17.384 -124.697  119.654 -177.916
23 -153.092    0.030    7.827   49.681 -124.474    8.327 -174.637
24 -157.497  -37.158   42.981   23.580 -124.346   70.346  162.382
25 -172.519   -0.535   20.083   46.536  173.449   96.410 -176.091
26 -158.524  -21.968   35.521   20.383  152.056  -90.664 -175.766
27 -176.550  -18.133   19.924   41.442  166.174    7.231  176.977
28 -167.519   22.888   -4.049   41.394 -131.007   -1.818  168.708
29 -153.430   -7.727   28.394   34.152 -141.027  148.030  164.833
30 -178.391  -45.043   53.975   18.017 -136.419  -28.465 -177.215
31 -171.575  -42.564   54.319   25.411 -126.034  -87.549  178.547
32 -168.473  -36.584   42.364   38.583  147.491 -173.780 -170.033
33 -169.318   26.632   27.881   20.019 -116.023   60.454  171.144
34  176.743   -6.820   28.663   41.689 -125.366  -14.275  172.064
35  173.189  -32.894   16.933   45.074 -103.046  -84.439  163.887
36 -175.402  -19.194    8.405   51.605 -139.691  161.409  173.007
37 -178.611  -30.124   48.088   29.756  156.497   90.282  168.083
38  171.636   -3.252   31.589   20.469 -174.689  159.144 -178.145
39  178.655    0.890   44.595   28.800  144.678 -134.409 -175.533
40  161.511    8.128    1.372   53.487  168.619 -169.536  173.833
41  154.606   23.684   21.633   24.761 -126.461   73.008 -176.105
42  168.671   17.933   26.538   17.474 -123.722  -28.448 -172.723
43 -176.869  -39.202   31.670   31.853 -131.212 -101.541  175.368
44  177.885  -13.228   22.929   57.522 -123.884 -138.787  173.817
45 -153.139  -47.701   46.334   31.180 -141.277   44.601  169.043
46 -157.542  -30.676   19.243   35.337 -144.404 -104.162  163.461
47 -163.998   20.586   31.909   33.255 -167.681  142.117  171.712
48  179.844   11.707    1.215   76.131 -142.185  -28.356  179.744
49 -125.593    4.269    8.870   44.252  140.187  -76.291 -172.069
50 -143.217    3.591   16.118   41.956  132.842  179.069  178.055
51 -146.494    0.097   31.276   26.601  128.477  163.351  174.081
52 -157.558   14.166    7.261   61.408  138.046  165.903  174.990
53 -148.303   -8.542   19.672   36.324  133.494   22.736 -175.334
54 -161.947    4.949   25.548   33.351  139.625  163.218 -174.939
55 -158.706   14.096    8.439   41.458  127.608  174.950 -170.335
56 -164.902   -3.870   14.025   52.872  137.847  -50.332  154.633
57 -159.505    7.039   31.510   29.302 -145.088  -79.862  165.716
58 -163.138   10.905    1.863   34.749 -143.062  163.473  170.508
59 -172.380  -24.516   33.066   27.834   30.888  178.545 -171.213
60  174.522   -3.382    6.270   41.171   14.870 -138.259 -157.785
61   -3.006  -42.436   39.823   35.372   40.545  -81.447 -178.975
62  -25.504  -50.499   24.301   45.431   23.488  175.623 -157.465
63 -169.353  -10.469   19.735   32.101   18.396  -99.683 -156.521
64 -171.212   33.795   20.792   45.615  -34.366  -90.435 -169.581
65  173.560  -49.856   23.883   38.839   52.570 -108.513 -167.281
66  167.738  -14.644   12.208   36.190   31.059  -90.178 -172.708
67  -72.919  -62.218   40.893   34.576  151.071  162.988 -178.923
68  176.270   53.829   26.117   14.496  162.067   50.542  177.751
69  161.310   43.629   27.109   27.519  157.982  -98.150 -178.254
70 -179.588   27.891   20.563   25.445 -131.236 -145.026 -177.364
71 -159.154  -39.096   50.339   35.998 -125.568   41.922 -178.841
72 -168.808  -49.174  -25.340  146.767 -149.508   25.072  177.828
73  177.045  -68.444  -18.098  146.914 -145.388 -156.038  166.698
74  179.279  -74.371  -44.684  164.765 -135.303  120.404  170.836
75 -172.332  -45.667   23.220   45.198 -136.732 -105.586 -169.807
76  173.637  -12.342    7.708   64.843 -116.562  -75.331  167.974
77  166.998  -22.214   18.620   38.773 -127.834   27.292  170.406
78 -160.219  -30.591   45.994   23.355 -125.940  -24.447  174.171
79 -164.727  -10.480   35.714   19.730  155.835  -15.504  173.433
80 -165.689  -26.916   47.898   25.120 -124.098  166.111  176.085
81 -156.123  -22.120   39.094   36.594 -129.760   21.205  169.682
82 -154.956  -35.623   31.404   25.550 -128.966    3.506 -172.417
83  170.952    2.366   -4.983   52.338 -123.096  154.648 -172.565
84 -161.051    0.189   13.971   48.093 -132.903  153.197 -171.073
85 -179.358   -1.785   26.844   20.410 -132.949  -34.466  165.428
86 -169.871  -11.976   18.071   28.005 -117.288  160.591  166.535
87 -166.362  -14.971   49.093   22.051  165.459  167.572  167.934
88 -156.127  -37.680   44.480   16.577  162.886  -97.697 -176.366
89  155.246   20.112   33.559   30.427 -133.685  -18.228 -174.948
90  170.697   -2.497   38.949   31.395  163.061 -117.761  162.398
