filename,affinity,rmsd,smiles
Z247075470,-2.21825,0.26358,CNC(=O)Nc1ccc(NC(=O)/C=C/c2ccc(S(=O)(=O)Nc3ccc(OC)cc3)cc2)cc1
Z19074791,5.53416,0.30223,CC(C)CCNC(=O)COC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1
Z8213682763,13.71715,0.33500,Cc1nc2c(NC(=O)c3coc(CNC(=O)OC(C)(C)C)n3)cccc2c(=O)n1[C@@H]1CCC(=O)NC1=O
Z19074773,0.28146,0.35605,CC(C)NC(=O)COC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1
Z7642926702,9.30066,0.39731,O=C(Cc1ccc(OCc2nn[nH]n2)cc1)N1CCC[C@H](CC2(C(F)(F)F)N=N2)C1
Z19074633,7.72713,0.43997,COc1ccc(CNC(=O)COC(=O)c2ccc(NS(=O)(=O)c3ccc4c(c3)OCCO4)cc2)cc1OC
Z19075184,0.12892,0.44401,O=C(COC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1
Z6359249824,13.68414,0.45122,C[C@@]1(N2C(=O)c3ccc(C(=O)N4CCc5nc(C6CC6)ncc5C4)cc3C2=O)CCC(=O)NC1=O
Z19074911,0.44462,0.45764,CCNC(=O)NC(=O)COC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1
Z8077326119,7.40134,0.47490,CC(C)C(=O)NCCNc1ccc(S(=O)(=O)NCc2cnn(CCO)c2)cc1Br
Z7856629419,-7.57480,0.49055,C[C@@]1(NC(=O)c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)CCCNC1
Z145544394,-9.11016,0.49402,CCOc1ccc(N2C(=O)c3ccc(C(=O)N4CCNC(=O)C4)cc3C2=O)cc1
Z1685319763,-7.56152,0.50485,Cc1nnc(-c2cccc(-c3noc(-c4cncc(-c5ccc6c(c5)CCO6)c4)n3)c2)[nH]1
Z4999954076,-7.87261,0.50560,O=C1CC[C@@H](N2Cc3cc(-c4ccc5c(n4)CCCN5)ccc3C2=O)C(=O)N1
Z5000464556,-7.32695,0.50677,Nc1cnc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)cn1
Z6743935422,-7.62876,0.50965,Cc1cc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)ncc1N
Z4999954286,-7.14154,0.51071,CNc1ccc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nc1
Z5000470200,-7.46049,0.51862,Nc1ncc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nc1Cl
Z5000468691,-7.47906,0.52558,Cc1nc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)cnc1N
Z2407234319,-0.07931,0.52683,CS(=O)(=O)c1ccc([C@@H](O)CNc2ccc(N3CCNC3=O)cc2)cc1
Z1230091800,-6.37498,0.53951,N#Cc1ccc(Oc2ccc(C(=O)NCC(N)=O)cc2)c([N+](=O)[O-])c1
Z229976770,-8.28363,0.54050,NC(=O)COc1ccc(C(=O)N2Cc3cc4c(cc3C3(CCCC3)C2)OCCO4)cc1
Z8247628318,-7.39187,0.54295,O=C1CC[C@@H](N2Cc3ccc(-n4cc(C(=O)N[C@H]5CCN6CC[C@@H]5C6)nn4)cc3C2=O)C(=O)N1
Z202152628,-1.55509,0.54787,O=C(Nc1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1)c1cccnc1O
Z4762543890,13.02325,0.55051,CCn1nnc(CNC(=O)CCOc2ccc(S(=O)(=O)NC(=O)[C@@H]3CCCN(C(C)C)C3)cc2)n1
