name,cluster,x,y,z,radius,color,weight,variance,frequency
Aromatic,1.0,-1.2435083333333332,0.8053875,-12.060654166666668,0.8311302497906063,purple,4.0,0.088057315729167,1.0
Aromatic,2.0,-8.843354166666668,1.5707916666666666,-12.122145833333331,0.9875221943309637,purple,4.0,0.1266411900347227,1.0
HydrogenAcceptor,1.0,-13.610933333333335,4.5956,-10.797599999999997,1.4575698674828441,orange,3.0,0.49619244888888864,0.75
HydrogenAcceptor,2.0,-12.3372,1.8871,-11.1059,0.5,orange,1.0,0.0,0.25
HydrogenAcceptor,3.0,0.7717750000000001,1.093075,-14.01585,0.9849604249317665,orange,4.0,0.16362079624999984,1.0
HydrogenAcceptor,4.0,-0.78705,1.4615,-9.4302,0.6310987509475207,orange,2.0,0.01718688249999997,0.5
HydrogenAcceptor,5.0,1.726575,1.64985,-11.175625,1.616924735042608,orange,4.0,0.6685209112499999,1.0
HydrogenAcceptor,6.0,-5.3761,-1.7209,-13.674475000000001,1.0134718888361856,orange,4.0,0.12921668687499993,1.0
HydrogenAcceptor,7.0,-5.879,2.4358,-10.4897,0.5,orange,1.0,0.0,0.25
HydrogenDonor,1.0,-13.66375,4.84085,-11.0108,1.1473905042553532,yellow,2.0,0.41911446499999977,0.5
HydrogenDonor,2.0,1.7056,2.5776,-9.9299,0.5,yellow,1.0,0.0,0.25
HydrogenDonor,3.0,2.8346,1.03,-12.3963,0.5,yellow,1.0,0.0,0.25
Hydrophobic,1.0,0.320475,1.122225,-15.352274999999999,1.5011177874262702,green,4.0,0.1560676406250001,1.0
Hydrophobic,2.0,-1.4026666666666667,1.5392000000000001,-8.711033333333333,2.0172947322296637,green,3.0,0.5294948377777778,0.75
Hydrophobic,3.0,2.0941,0.8335,-11.0669,1.0088328930707897,green,2.0,7.801999999999912e-05,0.5
Hydrophobic,4.0,-1.2435083333333332,0.8053875,-12.060654166666668,1.3311302497906063,green,4.0,0.088057315729167,1.0
Hydrophobic,5.0,-13.673525,1.156075,-11.101,1.0,green,1.0,0.0,0.25
Hydrophobic,6.0,-14.70683333333333,5.352766666666667,-10.20383333333333,1.0,green,1.0,0.0,0.25
Hydrophobic,7.0,-8.843354166666668,1.5707916666666666,-12.122145833333331,1.4875221943309636,green,4.0,0.1266411900347227,1.0
Hydrophobic,8.0,-5.142125,2.545525,-11.342225000000001,2.929001660671914,green,4.0,1.283668625625,1.0
