cluster,filename,affinity,rmsd
cluster_3,KDKU_VINA,-9.04804,1.07108
cluster_3,C9U_6JUX,-9.03300,1.08930
cluster_3,FH0_7C3G,-7.57219,2.29769
cluster_3,C87_7NNS,-6.98588,1.53245
cluster_4,IYZ_4DYM,-7.35732,1.63933
cluster_4,FH0_7C3G,-6.68395,2.84692
cluster_5,LDN_3Q4U,-10.91813,2.19062
cluster_5,B4B_5OXG,-10.46877,1.46141
cluster_5,XQX_8UWR,-9.51874,2.86199
cluster_5,TZX_8C7Z,-9.50513,1.74648
cluster_5,MSZ_6SZM,-9.26032,2.18020
cluster_5,Q5Z_6Z36,-9.22014,2.21858
cluster_5,MM8_6T6D,-8.82934,1.62044
cluster_5,844_4BGG,-8.61027,2.03744
cluster_5,U0C_8C7W,-7.71092,2.12443
cluster_5,OUKY_VINA,-7.01493,3.72469
cluster_5,ZBNZ_VINA,-3.95724,2.06104
cluster_2,LDN_3Q4U,-10.91800,1.74059
cluster_2,B4B_5OXG,-10.52090,2.05458
cluster_2,U0C_8C7W,-4.52166,2.69666
cluster_7,A1A29_9D8E,-7.85603,3.48463
cluster_7,A1A3D_9D8Z,-7.37797,3.99531
cluster_7,A1A3C_9D8F,-5.11608,2.07491
cluster_1,Q5Z_6Z36,-9.28003,0.96603
cluster_1,TZX_8C7Z,-9.21064,1.23552
cluster_1,U0C_8C7W,-9.00016,1.18910
cluster_1,MSZ_6SZM,-8.88274,1.06562
cluster_1,MM8_6T6D,-8.87688,1.32210
cluster_1,844_4BGG,-8.45988,0.80772
cluster_6,Q5Z_6Z36,-9.28018,1.59695
cluster_6,MSZ_6SZM,-9.02115,1.82277
cluster_6,U0C_8C7W,-9.00017,1.65630
cluster_6,TZX_8C7Z,-8.64794,1.48751
cluster_6,844_4BGG,-8.46466,1.16137
