Symbol,Uniprot,PDB-ID
ERBB3,P21860,1M6B
ERBB3,P21860,2L9U
ERBB3,P21860,3KEX
ERBB3,P21860,3LMG
ERBB3,P21860,3P11
ERBB3,P21860,4LEO
ERBB3,P21860,4P59
ERBB3,P21860,4RIW
ERBB3,P21860,4RIX
ERBB3,P21860,4RIY
ERBB3,P21860,5CUS
ERBB3,P21860,5O4O
ERBB3,P21860,5O7P
ERBB3,P21860,6KBI
ERBB3,P21860,6OP9
ERBB3,P21860,7BHE
ERBB3,P21860,7BHF
ERBB3,P21860,7D85
ERBB3,P21860,7MN5
ERBB3,P21860,7MN6
ERBB3,P21860,7MN8
MTOR,P42345,1AUE
MTOR,P42345,1FAP
MTOR,P42345,1NSG
MTOR,P42345,2FAP
MTOR,P42345,2GAQ
MTOR,P42345,2NPU
MTOR,P42345,2RSE
MTOR,P42345,3FAP
MTOR,P42345,3JBZ
MTOR,P42345,4DRH
MTOR,P42345,4DRI
MTOR,P42345,4DRJ
MTOR,P42345,4FAP
MTOR,P42345,4JSN
MTOR,P42345,4JSP
MTOR,P42345,4JSV
MTOR,P42345,4JSX
MTOR,P42345,4JT5
MTOR,P42345,4JT6
MTOR,P42345,5FLC
MTOR,P42345,5GPG
MTOR,P42345,5H64
MTOR,P42345,5WBH
MTOR,P42345,5WBU
MTOR,P42345,5WBY
MTOR,P42345,5ZCS
MTOR,P42345,6BCU
MTOR,P42345,6BCX
MTOR,P42345,6M4U
MTOR,P42345,6M4W
MTOR,P42345,6SB0
MTOR,P42345,6SB2
MTOR,P42345,6ZWM
MTOR,P42345,6ZWO
MTOR,P42345,7EPD
MTOR,P42345,7OWG
MTOR,P42345,7PE7
MTOR,P42345,7PE8
MTOR,P42345,7PE9
MTOR,P42345,7PEA
MTOR,P42345,7PEB
MTOR,P42345,7PEC
MTOR,P42345,7TZO
MTOR,P42345,7UXC
MTOR,P42345,7UXH
MTOR,P42345,8ER6
MTOR,P42345,8ER7
MTOR,P42345,8ERA
MTOR,P42345,8PPZ
MTOR,P42345,9F44
MTOR,P42345,9F45
IGF1,P05019,1B9G
IGF1,P05019,1BQT
IGF1,P05019,1GZR
IGF1,P05019,1GZY
IGF1,P05019,1GZZ
IGF1,P05019,1H02
IGF1,P05019,1H59
IGF1,P05019,1IMX
IGF1,P05019,1PMX
IGF1,P05019,1TGR
IGF1,P05019,1WQJ
IGF1,P05019,2DSP
IGF1,P05019,2DSQ
IGF1,P05019,2DSR
IGF1,P05019,2GF1
IGF1,P05019,3GF1
IGF1,P05019,3LRI
IGF1,P05019,4XSS
IGF1,P05019,5U8Q
IGF1,P05019,6FF3
IGF1,P05019,6PYH
IGF1,P05019,6RVA
IGF1,P05019,7S0Q
IGF1,P05019,7WRQ
IGF1,P05019,7YRR
IGF1,P05019,8EYR
ERBB2,P04626,1MFG
ERBB2,P04626,1MFL
ERBB2,P04626,1MW4
ERBB2,P04626,1N8Z
ERBB2,P04626,1QR1
ERBB2,P04626,1S78
ERBB2,P04626,2A91
ERBB2,P04626,2JWA
ERBB2,P04626,2KS1
ERBB2,P04626,2L4K
ERBB2,P04626,2N2A
ERBB2,P04626,3BE1
ERBB2,P04626,3H3B
ERBB2,P04626,3MZW
ERBB2,P04626,3N85
ERBB2,P04626,3PP0
ERBB2,P04626,3RCD
ERBB2,P04626,3WLW
ERBB2,P04626,3WSQ
ERBB2,P04626,4GFU
ERBB2,P04626,4HRL
ERBB2,P04626,4HRM
ERBB2,P04626,4HRN
ERBB2,P04626,4NND
ERBB2,P04626,5K33
ERBB2,P04626,5KWG
ERBB2,P04626,5MY6
ERBB2,P04626,5O4G
ERBB2,P04626,5OB4
ERBB2,P04626,5TQS
ERBB2,P04626,6ATT
ERBB2,P04626,6BGT
ERBB2,P04626,6J71
ERBB2,P04626,6LBX
ERBB2,P04626,6OGE
ERBB2,P04626,7JXH
ERBB2,P04626,7MN5
ERBB2,P04626,7MN6
ERBB2,P04626,7MN8
ERBB2,P04626,7PCD
ERBB2,P04626,7QVK
ERBB2,P04626,8FFJ
ERBB2,P04626,8HGO
ERBB2,P04626,8HGP
ERBB2,P04626,8JYQ
ERBB2,P04626,8JYR
ERBB2,P04626,8PWH
ERBB2,P04626,8Q6J
ERBB2,P04626,8U4K
ERBB2,P04626,8U4L
ERBB2,P04626,8U8X
GAPDH,P04406,1U8F
GAPDH,P04406,1ZNQ
GAPDH,P04406,3GPD
GAPDH,P04406,4WNC
GAPDH,P04406,4WNI
GAPDH,P04406,6ADE
GAPDH,P04406,6IQ6
GAPDH,P04406,6M61
GAPDH,P04406,6YND
GAPDH,P04406,6YNE
GAPDH,P04406,6YNF
GAPDH,P04406,6YNH
GAPDH,P04406,8DNS
GAPDH,P04406,8G12
GAPDH,P04406,8G13
GAPDH,P04406,8G14
GAPDH,P04406,8G15
GAPDH,P04406,8G16
GAPDH,P04406,8G17
GAPDH,P04406,8P5F
CDKN1A,P38936,1AXC
CDKN1A,P38936,2ZVV
CDKN1A,P38936,2ZVW
CDKN1A,P38936,4RJF
CDKN1A,P38936,5E0U
CDKN1A,P38936,6CBI
CDKN1A,P38936,6CEJ
CDKN1A,P38936,6CIV
CDKN1A,P38936,6CIX
CDKN1A,P38936,6P8H
CDKN1A,P38936,7KQ0
CDKN1A,P38936,7KQ1
CDKN1A,P38936,8GJF
PIK3R1,P27986,1A0N
PIK3R1,P27986,1AZG
PIK3R1,P27986,1H9O
PIK3R1,P27986,1PBW
PIK3R1,P27986,1PHT
PIK3R1,P27986,1PIC
PIK3R1,P27986,1PKS
PIK3R1,P27986,1PKT
PIK3R1,P27986,2IUG
PIK3R1,P27986,2IUH
PIK3R1,P27986,2IUI
PIK3R1,P27986,2RD0
PIK3R1,P27986,2V1Y
PIK3R1,P27986,3HHM
PIK3R1,P27986,3HIZ
PIK3R1,P27986,3I5R
PIK3R1,P27986,3I5S
PIK3R1,P27986,4A55
PIK3R1,P27986,4JPS
PIK3R1,P27986,4L1B
PIK3R1,P27986,4L23
PIK3R1,P27986,4L2Y
PIK3R1,P27986,4OVU
PIK3R1,P27986,4OVV
PIK3R1,P27986,4WAF
PIK3R1,P27986,4YKN
PIK3R1,P27986,4ZOP
PIK3R1,P27986,5AUL
PIK3R1,P27986,5FI4
PIK3R1,P27986,5GJI
PIK3R1,P27986,5ITD
PIK3R1,P27986,5M6U
PIK3R1,P27986,5SW8
PIK3R1,P27986,5SWG
PIK3R1,P27986,5SWO
