Symbol,Uniprot,PDB-ID
ERBB3,P21860,"1M6B,2L9U,3KEX,3LMG,3P11,4LEO,4P59,4RIW,4RIX,4RIY,5CUS,5O4O,5O7P,6KBI,6OP9,7BHE,7BHF,7D85,7MN5,7MN6,7MN8"
MTOR,P42345,"1AUE,1FAP,1NSG,2FAP,2GAQ,2NPU,2RSE,3FAP,3JBZ,4DRH,4DRI,4DRJ,4FAP,4JSN,4JSP,4JSV,4JSX,4JT5,4JT6,5FLC,5GPG,5H64,5WBH,5WBU,5WBY,5ZCS,6BCU,6BCX,6M4U,6M4W,6SB0,6SB2,6ZWM,6ZWO,7EPD,7OWG,7PE7,7PE8,7PE9,7PEA,7PEB,7PEC,7TZO,7UXC,7UXH,8ER6,8ER7,8ERA,8PPZ,8RCH,8RCK,8RCN,9F44,9F45"
IGF1,P05019,"1B9G,1BQT,1GZR,1GZY,1GZZ,1H02,1H59,1IMX,1PMX,1TGR,1WQJ,2DSP,2DSQ,2DSR,2GF1,3GF1,3LRI,4XSS,5U8Q,6FF3,6PYH,6RVA,7S0Q,7WRQ,7YRR,8EYR,8X06,8X2M,8XJS,8XK1,8XKM,8XKR"
ERBB2,P04626,"1MFG,1MFL,1MW4,1N8Z,1QR1,1S78,2A91,2JWA,2KS1,2L4K,2N2A,3BE1,3H3B,3MZW,3N85,3PP0,3RCD,3WLW,3WSQ,4GFU,4HRL,4HRM,4HRN,4NND,5K33,5KWG,5MY6,5O4G,5OB4,5TQS,6ATT,6BGT,6J71,6LBX,6OGE,7JXH,7MN5,7MN6,7MN8,7PCD,7QVK,8FFJ,8HGO,8HGP,8JYQ,8JYR,8PWH,8Q6J,8U4K,8U4L,8U8X,8VB5,8VQD,8VQE"
GAPDH,P04406,"1U8F,1ZNQ,3GPD,4WNC,4WNI,6ADE,6IQ6,6M61,6YND,6YNE,6YNF,6YNH,8DNS,8G12,8G13,8G14,8G15,8G16,8G17,8P5F"
CDKN1A,P38936,"1AXC,2ZVV,2ZVW,4RJF,5E0U,6CBI,6CEJ,6CIV,6CIX,6P8H,7KQ0,7KQ1,8GJF"
PIK3R1,P27986,"1A0N,1AZG,1H9O,1PBW,1PHT,1PIC,1PKS,1PKT,2IUG,2IUH,2IUI,2RD0,2V1Y,3HHM,3HIZ,3I5R,3I5S,4A55,4JPS,4L1B,4L23,4L2Y,4OVU,4OVV,4WAF,4YKN,4ZOP,5AUL,5FI4,5GJI,5ITD,5M6U,5SW8,5SWG,5SWO,5SWP,5SWR,5SWT,5SX8,5SX9,5SXA,5SXB,5SXC,5SXD,5SXE,5SXF,5SXI,5SXJ,5SXK,5UBT,5UK8,5UKJ,5UL1,5VLR,5XGH,5XGI,5XGJ,6NCT,6PYR,6PYU,7CIO,7LM2,7LQ1,7MYN,7MYO,7PG5,7PG6,7RNS,7TZ7,8AM0,8DCP,8DCX,8DD4,8DD8,8GUB,8H36,8H37,8ILR,8ILS,8ILV,8SBC,8SBJ,8TDU,8TGD,8TS7,8TS8,8TS9,8TSA,8TSB,8TSC,8TSD,8TU6,8V8H,8V8I,8V8J,8V8U,8V8V,8W9A,8W9B"
TNNT2,P45379,"1J1D,1J1E,4Y99,6KN7,6KN8,7UTI,7UTL,8FMM,8FMN,8FMO,8FMP,8FMQ,8FMR,8FMS,8FMT"
HGF,P14210,"1BHT,1GMN,1GMO,1GP9,1NK1,1SHY,1SI5,2HGF,2QJ2,3HMS,3HMT,3HN4,3MKP,3SP8,4D3C,4K3J,4O3T,4O3U,5COE,5CP9,5CS1,5CS3,5CS5,5CS9,5CSQ,5CT1,5CT2,5CT3,7MO7,7MO8,7MO9,7MOA,7MOB,7OCL,7OCM"
TP53,P04637,"1A1U,1AIE,1C26,1DT7,1GZH,1H26,1HS5,1JSP,1KZY,1MA3,1OLG,1OLH,1PES,1PET,1SAE,1SAF,1SAK,1SAL,1TSR,1TUP,1UOL,1XQH,1YC5,1YCQ,1YCR,1YCS,2AC0,2ADY,2AHI,2ATA,2B3G,2BIM,2BIN,2BIO,2BIP,2BIQ,2F1X,2FEJ,2FOJ,2FOO,2GS0,2H1L,2H2D,2H2F,2H4F,2H4H,2H4J,2H59,2J0Z,2J10,2J11,2J1W,2J1X,2J1Y,2J1Z,2J20,2J21,2K8F,2L14,2LY4,2MEJ,2MWO,2MWP,2MWY,2MZD,2OCJ,2PCX,2RUK,2VUK,2WGX,2X0U,2X0V,2X0W,2XWR,2YBG,2YDR,2Z5S,2Z5T,3D05,3D06,3D07,3D08,3D09,3D0A,3DAB,3DAC,3IGK,3IGL,3KMD,3KZ8,3LW1,3OQ5,3PDH,3Q01,3Q05,3Q06,3SAK,3TG5,3TS8,3ZME,4AGL,4AGM,4AGN,4AGO,4AGP,4AGQ,4BUZ,4BV2,4HFZ,4HJE,4IBQ,4IBS,4IBT,4IBU,4IBV,4IBW,4IBY,4IBZ,4IJT,4KVP,4LO9,4LOE,4LOF,4MZI,4MZR,4QO1,4RP6,4RP7,4X34,4XR8,4ZZJ,5A7B,5AB9,5ABA,5AOI,5AOJ,5AOK,5AOL,5AOM,5BUA,5ECG,5G4M,5G4N,5G4O,5HOU,5HP0,5HPD,5LAP,5LGY,5MCT,5MCU,5MCV,5MCW,5MF7,5MG7,5MHC,5MOC,5O1A,5O1B,5O1C,5O1D,5O1E,5O1F,5O1G,5O1H,5O1I,5OL0,5UN8,5XZC,6FF9,6FJ5,6GGA,6GGB,6GGC,6GGD,6GGE,6GGF,6LHD,6R5L,6RJZ,6RK8,6RKI,6RKK,6RKM,6RL3,6RL4,6RL6,6RM5,6RM7,6RWH,6RWI,6RWS,6RWU,6RX2,6RZ3,6S39,6S3C,6S40,6S9Q,6SHZ,6SI0,6SI1,6SI2,6SI3,6SI4,6SIN,6SIO,6SIP,6SIQ,6SL6,6SLV,6T58,6V4F,6V4H,6VQO,6VR1,6VR5,6VRM,6VRN,6W51,6XRE,6ZNC,7B46,7B47,7B48,7B49,7B4A,7B4B,7B4C,7B4D,7B4E,7B4F,7B4G,7B4H,7B4N,7BWN,7DHY,7DHZ,7DVD,7EAX,7EDS,7EEU,7EL4,7NMI,7RM4,7V97,7XZX,7XZZ,7YGI,8A31,8A32,8A92,8CG7,8DC4,8DC6,8DC7,8DC8,8E7A,8E7B,8GCR,8HLL,8HLM,8HLN,8J8N,8OXM,8OXO,8QWK,8QWL,8QWM,8QWN,8QWO,8QWP,8R1F,8R1G,8RBA,8RBB,8RBC,8RCI,8UQR,8WD2,8XP5,9BR4,9C5S"
FGF7,P21781,
INS,P01308,"1A7F,1AI0,1AIY,1B9E,1BEN,1EFE,1EV3,1EV6,1EVR,1FU2,1FUB,1G7A,1G7B,1GUJ,1HIQ,1HIS,1HIT,1HLS,1HTV,1HUI,1IOG,1IOH,1J73,1JCA,1JCO,1JK8,1K3M,1KMF,1LKQ,1LPH,1MHI,1MHJ,1MSO,1OS3,1OS4,1Q4V,1QIY,1QIZ,1QJ0,1RWE,1SF1,1SJT,1SJU,1T0C,1T1K,1T1P,1T1Q,1TRZ,1TYL,1TYM,1UZ9,1VKT,1W8P,1XDA,1XGL,1XW7,1ZEG,1ZEH,1ZNJ,2AIY,2C8Q,2C8R,2CEU,2G54,2G56,2H67,2HH4,2HHO,2HIU,2JMN,2JUM,2JUU,2JUV,2JV1,2JZQ,2K91,2K9R,2KJJ,2KJU,2KQP,2KQQ,2KXK,2L1Y,2L1Z,2LGB,2LWZ,2M1D,2M1E,2M2M,2M2N,2M2O,2M2P,2MLI,2MPG,2MPI,2MVC,2MVD,2N2V,2N2W,2N2X,2OLY,2OLZ,2OM0,2OM1,2OMG,2OMH,2OMI,2OMQ,2QIU,2R34,2R35,2R36,2RN5,2VJZ,2VK0,2W44,2WBY,2WC0,2WRU,2WRV,2WRW,2WRX,2WS0,2WS1,2WS4,2WS6,2WS7,3AIY,3BXQ,3E7Y,3E7Z,3EXX,3FQ9,3HYD,3I3Z,3I40,3ILG,3INC,3IR0,3JSD,3KQ6,3P2X,3P33,3Q6E,3ROV,3TT8,3U4N,3UTQ,3UTS,3UTT,3V19,3V1G,3W11,3W12,3W13,3W7Y,3W7Z,3W80,3ZI3,3ZQR,3ZS2,3ZU1,4AIY,4AJX,4AJZ,4AK0,4AKJ,4CXL,4CXN,4CY7,4EFX,4EWW,4EWX,4EWZ,4EX0,4EX1,4EXX,4EY1,4EY9,4EYD,4EYN,4EYP,4F0N,4F0O,4F1A,4F1B,4F1C,4F1D,4F1F,4F1G,4F4T,4F4V,4F51,4F8F,4FG3,4FKA,4GBC,4GBI,4GBK,4GBL,4GBN,4IUZ,4IYD,4IYF,4NIB,4OGA,4P65,4RXW,4UNE,4UNG,4UNH,4WDI,4XC4,4Y19,4Y1A,4Z76,4Z77,4Z78,5AIY,5BOQ,5BPO,5BQQ,5BTS,5C0D,5CJO,5CNY,5CO2,5CO6,5CO9,5E7W,5EMS,5EN9,5ENA,5HPR,5HPU,5HQI,5HRQ,5HYJ,5MAM,5MHD,5MT3,5MT9,5MWQ,5T7R,5UDP,5UOZ,5UQA,5URT,5URU,5USP,5USS,5USV,5UU2,5UU3,5UU4,5VIZ,5WBT,5WDM,5WOB,6B3Q,6B70,6BFC,6CE7,6CE9,6CEB,6CK2,6GNQ,6GV0,6H3M,6HN5,6JK8,6JR3,6K59,6NWV,6O17,6P4Z,6S34,6S4I,6S4J,6SOF,6TC2,6TYH,6U46,6VEP,6VER,6VES,6VET,6X4X,6Z7W,6Z7Y,7BW7,7BW8,7BWA,7JP3,7KD6,7MD4,7MD5,7MQO,7MQR,7MQS,7NHU,7NMG,7PG0,7PG2,7PG3,7PG4,7QAC,7QGF,7QID,7RKD,7RZE,7RZF,7RZI,7S4Y,7SL1,7SL2,7SL3,7SL4,7SL6,7SL7,7STH,7STI,7STJ,7STK,7U6E,7V3P,7YQ3,7YQ4,7YQ5,7Z5L,7Z5Q,8EYX,8EYY,8EZ0,8GSG,8GUY,8HGZ,8HSF,8HSK,8IPZ,8OKY,8ONI,8ONK,8ONP,8ONR,8PI4,8PI5,8PI6,8PJH,8RRP,8RVT,8SBD,8VCX,8VDD,8WU0,8Z4B"
GDF15,Q99988,"5VT2,5VZ3,5VZ4,6Q2J"
AKT1,P31749,"1H10,1UNP,1UNQ,1UNR,2UVM,2UZR,2UZS,3CQU,3CQW,3MV5,3MVH,3O96,3OCB,3OW4,3QKK,3QKL,3QKM,4EJN,4EKK,4EKL,4GV1,5KCV,6BUU,6CCY,6HHF,6HHG,6HHH,6HHI,6HHJ,6NPZ,6S9W,6S9X,7APJ,7MYX,7NH4,7NH5,8JOW,8UVY,8UW2,8UW7,8UW9"
EGFR,P00533,"1IVO,1M14,1M17,1MOX,1NQL,1XKK,1YY9,1Z9I,2EB2,2EB3,2GS2,2GS6,2GS7,2ITN,2ITO,2ITP,2ITQ,2ITT,2ITU,2ITV,2ITW,2ITX,2ITY,2ITZ,2J5E,2J5F,2J6M,2JIT,2JIU,2JIV,2KS1,2M0B,2M20,2N5S,2RF9,2RFD,2RFE,2RGP,3B2U,3B2V,3BEL,3BUO,3C09,3G5V,3G5Y,3GOP,3GT8,3IKA,3LZB,3NJP,3OB2,3OP0,3P0Y,3PFV,3POZ,3QWQ,3UG1,3UG2,3VJN,3VJO,3VRP,3VRR,3W2O,3W2P,3W2Q,3W2R,3W2S,3W32,3W33,4G5J,4G5P,4HJO,4I1Z,4I20,4I21,4I22,4I23,4I24,4JQ7,4JQ8,4JR3,4JRV,4KRL,4KRM,4KRO,4KRP,4LI5,4LL0,4LQM,4LRM,4R3P,4R3R,4R5S,4RIW,4RIX,4RIY,4RJ4,4RJ5,4RJ6,4RJ7,4RJ8,4TKS,4UIP,4UV7,4WD5,4WKQ,4WRG,4ZAU,4ZJV,4ZSE,5C8K,5C8M,5C8N,5CAL,5CAN,5CAO,5CAP,5CAQ,5CAS,5CAU,5CAV,5CNN,5CNO,5CZH,5CZI,5D41,5EDP,5EDQ,5EDR,5EM5,5EM6,5EM7,5EM8,5FED,5FEE,5FEQ,5GMP,5GNK,5GTY,5GTZ,5HCX,5HCY,5HCZ,5HG5,5HG7,5HG8,5HG9,5HIB,5HIC,5J9Y,5J9Z,5JEB,5LV6,5SX4,5SX5,5U8L,5UG8,5UG9,5UGA,5UGB,5UGC,5UWD,5WB7,5WB8,5X26,5X27,5X28,5X2A,5X2C,5X2F,5X2K,5XDK,5XDL,5XGM,5XGN,5XWD,5Y25,5Y9T,5YU9,5ZTO,5ZWJ,6ARU,6B3S,6D8E,6DUK,6JRJ,6JRK,6JRX,6JWL,6JX0,6JX4,6JXT,6JZ0,6LUB,6LUD,6P1D,6P1L,6P8Q,6S89,6S8A,6S9B,6S9C,6S9D,6TFU,6TFV,6TFW,6TFY,6TFZ,6TG0,6TG1,6V5N,6V5P,6V66,6V6K,6V6O,6VH4,6VHN,6VHP,6WA2,6WAK,6WXN,6XL4,6Z4B,6Z4D,7A2A,7A6I,7A6J,7A6K,7AEI,7AEM,7B85,7ER2,7JXI,7JXK,7JXL,7JXM,7JXP,7JXQ,7JXW,7K1H,7K1I,7KXZ,7KY0,7LEN,7LFR,7LFS,7LG8,7LGS,7LTX,7OM4,7OXB,7SI1,7SYD,7SYE,7SZ0,7SZ1,7SZ5,7SZ7,7T4I,7T4J,7TVD,7U98,7U99,7U9A,7UKV,7UKW,7VRA,7VRE,7ZYM,7ZYN,7ZYP,7ZYQ,8A27,8A2A,8A2B,8A2D,8D73,8D76,8DSW,8EME,8F1H,8F1W,8F1X,8F1Y,8F1Z,8FV3,8FV4,8G63,8GB4,8GK5,8H7X,8HGO,8HGP,8HGS,8HV1,8HV2,8HV3,8HV4,8HV5,8HV6,8HV7,8HV8,8HV9,8HVA,8HY7,8KFQ,8PNZ,8PO0,8PO1,8PO2,8PO3,8PO4,8S1M,8SC7,8TJL,8TO3,8TO4,8UKV,8UKW,8UKX,8WD4,9EWS,9EWT,9H46"
FST,P19883,"2B0U,2P6A,3HH2,5JHW"
